genres,keywords,original_language,overview,production_companies,runtime,title,cast,director
"Adventure, Action",africa feral child tarzan jungle animal attack,en,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.","Village Roadshow Pictures, Dark Horse Entertainment, Jerry Weintraub Productions, RatPac-Dune Entertainment, Beagle Pug Films, Riche Productions, Village Roadshow Films North America",109,The Legend of Tarzan,"Alexander Skarsgård, Margot Robbie, Christoph Waltz, Samuel L., Jackson Djimon, Hounsou",David Yates
Science Fiction,mutant supernatural powers marvel comic superhero based on comic book,en,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.","Twentieth Century Fox Film Corporation, Donners' Company, Marvel Entertainment, Bad Hat Harry Productions, TSG Entertainment, Kinberg Genre",144,X-Men: Apocalypse,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult, Oscar Isaac",Bryan Singer
"Thriller, Action, Crime, Drama",dc comics crime fighter secret identity scarecrow sadism,en,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","DC Comics, Legendary Pictures, Warner Bros., DC Entertainment, Syncopy",152,The Dark Knight,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, Maggie Gyllenhaal",Christopher Nolan
"Adventure, Animation, Comedy, Family",age difference central and south america balloon animation floating in the air,en,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",Pixar Animation Studios,96,Up,"Ed Asner, Christopher Plummer, Jordan Nagai, Bob Peterson, Delroy Lindo",Pete Docter
"Science Fiction, Adventure, Animation, Family",alien giant robot duringcreditsstinger,en,"When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters...",DreamWorks Animation,94,Monsters vs Aliens,"Seth Rogen, Reese Witherspoon, Hugh Laurie, Paul Rudd, Kiefer Sutherland",Conrad Vernon
"Science Fiction, Adventure, Action",middle east arms dealer malibu marvel comic superhero,en,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Marvel Studios,126,Iron Man,"Robert Downey, Jr. Terrence, Howard Jeff, Bridges Shaun, Toub Gwyneth, Paltrow",Jon Favreau
"Adventure, Family, Drama",library clock film director key toy,en,"Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past.","Paramount Pictures, Infinitum Nihil, GK Films",126,Hugo,"Ben Kingsley, Sacha Baron, Cohen Asa, Butterfield Chloë, Grace Moretz, Ray Winstone",Martin Scorsese
"Science Fiction, Adventure, Fantasy, Action, Crime",dc comics shared universe anti hero secret mission villain,en,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.","DC Comics, Dune Entertainment, Atlas Entertainment, Warner Bros., DC Entertainment",123,Suicide Squad,"Will Smith, Margot Robbie, Joel Kinnaman, Viola Davis, Jared Leto",David Ayer
"Fantasy, Comedy, Family",father son relationship daily life married couple support father,en,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,"Columbia Pictures, Universal Pictures, Spyglass Entertainment, Shady Acres Entertainment, Original Film, Playtone, Relativity Media",96,Evan Almighty,"Steve Carell, Lauren Graham, John Goodman, Jimmy Bennett, John Michael, Higgins",Tom Shadyac
"Science Fiction, Action",deja vu time warp restart dystopia war,en,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.","Village Roadshow Pictures, Warner Bros., Viz Media, Province of British Columbia Production Services Tax Credit, 3 Arts Entertainment, RatPac-Dune Entertainment",113,Edge of Tomorrow,"Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton, Jonas Armstrong",Doug Liman
"Science Fiction, Adventure, Thriller, Action",terrorist secret hostage technology warhead,en,"From the Egyptian desert to deep below the polar ice caps, the elite G.I. JOE team uses the latest in next-generation spy and military equipment to fight the corrupt arms dealer Destro and the growing threat of the mysterious Cobra organization to prevent them from plunging the world into chaos.","Paramount Pictures, Spyglass Entertainment, Di Bonaventura Pictures, Hasbro, Kontsept Film Company",118,G.I. Joe: The Rise of Cobra,"Dennis Quaid, Channing Tatum, Marlon Wayans, Sienna Miller, Joseph Gordon-Levitt",Stephen Sommers
"Animation, Comedy, Family, Drama",dream cartoon imaginary friend animation family,en,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.","Walt Disney Pictures, Pixar Animation Studios",94,Inside Out,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader, Lewis Black",Pete Docter
"Adventure, Fantasy, Family, Drama",based on novel snake wolf elephant tiger,en,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.","Walt Disney Pictures, Walt Disney Studios Motion Pictures, Fairview Entertainment, Moving Picture Company (MPC)",106,The Jungle Book,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba, Scarlett Johansson",Jon Favreau
"Science Fiction, Adventure, Action",malibu marvel comic superhero based on comic book revenge,en,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",Marvel Studios,124,Iron Man 2,"Robert Downey, Jr. Gwyneth, Paltrow Don, Cheadle Scarlett, Johansson Mickey, Rourke",Jon Favreau
"Adventure, Fantasy, Drama",queen magic fairy tale immortality forest,en,"After the Evil Queen marries the King, she performs a violent coup in which the King is murdered and his daughter, Snow White, is taken captive. Almost a decade later, a grown Snow White is still in the clutches of the Queen. In order to obtain immortality, The Evil Queen needs the heart of Snow White. After Snow escapes the castle, the Queen sends the Huntsman to find her in the Dark Forest.","Universal Pictures, Roth Films",127,Snow White and the Huntsman,"Kristen Stewart, Charlize Theron, Chris Hemsworth, Sam Claflin, Ian McShane",Rupert Sanders
"Adventure, Fantasy, Romance, Action, Family",fairy tale villain sleeping beauty dark fantasy based on fairy tale,en,"The untold story of Disney's most iconic villain from the 1959 classic 'Sleeping Beauty'. A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land.  Maleficent rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal – an act that begins to turn her heart into stone. Bent on revenge, Maleficent faces an epic battle with the invading King's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom - and to Maleficent's true happiness as well.","Walt Disney Pictures, Walt Disney Studios Motion Pictures, Roth Films",97,Maleficent,"Angelina Jolie, Elle Fanning, Sharlto Copley, Sam Riley, Juno Temple",Robert Stromberg
"Science Fiction, Thriller, Action, Drama",leader colony post-apocalyptic dystopia forest,en,"A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity, while Caesar tries to maintain dominance over his community of intelligent apes.","Ingenious Media, Chernin Entertainment, TSG Entertainment",130,Dawn of the Planet of the Apes,"Andy Serkis, Jason Clarke, Gary Oldman, Keri Russell, Toby Kebbell",Matt Reeves
"Science Fiction, Adventure, Action",washington d.c. future shield marvel comic superhero,en,"After the cataclysmic events in New York with The Avengers, Steve Rogers, aka Captain America is living quietly in Washington, D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack, Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow, Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed, Captain America and the Black Widow enlist the help of a new ally, the Falcon. However, they soon find themselves up against an unexpected and formidable enemy—the Winter Soldier.",Marvel Studios,136,Captain America: The Winter Soldier,"Chris Evans, Samuel L., Jackson Scarlett, Johansson Robert, Redford Sebastian, Stan",Anthony Russo
